pred_class	pred_prob	raw_input	attribution_scores
1	0.32	[CLS] corrections , make that four terms : i pick a car and swap , i pick a goat and swap , i pick a car and do not swap , i pick a goat and do not swap . who cares about doors or door numbers ? [SEP]	0.00 0.02 -0.06 0.18 0.07 0.12 -0.14 -0.01 0.13 0.09 -0.08 -0.14 -0.04 0.33 0.00 0.09 -0.00 -0.06 0.27 -0.04 -0.14 0.01 0.06 0.05 -0.08 -0.08 -0.07 0.05 0.04 0.05 0.07 0.11 -0.02 -0.03 0.41 -0.12 0.12 0.01 -0.14 0.10 0.23 0.12 -0.03 0.08 -0.02 0.17 -0.26 0.46 0.00
1	0.02	[CLS] as a rumor of angels reveals itself to be a sud ##sy tub of supernatural ho ##ku ##m , not even ms . red ##grave ' s nobles ##t efforts can red ##eem it from hopeless sentimental ##ity . [SEP]	0.00 -0.44 -0.16 0.39 0.05 -0.03 -0.03 -0.04 -0.05 -0.02 0.04 0.16 0.03 0.12 -0.01 -0.07 -0.00 -0.01 -0.09 -0.14 -0.02 -0.15 -0.25 -0.10 -0.01 0.14 -0.07 -0.08 -0.13 -0.05 -0.04 -0.07 -0.00 -0.26 -0.04 -0.09 0.14 -0.54 -0.06 -0.05 0.00
0	0.88	[CLS] this is a shame ##less sham , calculated to cash in on the popularity of its stars . [SEP]	0.00 -0.18 -0.21 -0.42 0.48 -0.17 -0.03 0.21 -0.33 -0.01 0.16 -0.08 -0.05 -0.03 -0.39 0.03 -0.15 -0.25 0.25 0.00
1	0.02	[CLS] even horror fans will most likely not find what they ' re seeking with trouble every day ; the movie lacks both thrill ##s and humor . [SEP]	0.00 -0.15 -0.26 0.00 -0.10 0.02 -0.02 0.04 -0.02 0.06 -0.05 -0.09 0.00 -0.21 -0.11 -0.77 0.07 0.05 -0.25 -0.08 -0.22 0.29 -0.11 -0.05 -0.04 -0.06 0.06 -0.05 0.00
1	0.00	[CLS] @ amber ##0 ##21 ##50 good morning ! happy winter day . : ) [SEP]	0.00 -0.09 -0.47 -0.42 -0.36 -0.43 -0.15 0.21 0.09 0.02 0.31 0.10 0.17 0.03 -0.26 0.00
1	0.00	[CLS] @ mr ##ja ##mes ##ob @ lb ##c snow ##fl ##ake random such a funny man never a dull moment brilliant [SEP]	0.00 0.01 -0.44 -0.03 0.06 -0.03 -0.07 -0.05 -0.10 -0.03 -0.03 0.01 0.07 -0.02 0.04 -0.75 -0.14 -0.09 -0.05 0.27 0.04 -0.31 0.00
1	0.00	[CLS] @ bern ##ade ##tte ##ally cute smile ! [SEP]	0.00 -0.15 -0.01 -0.87 -0.11 -0.27 -0.13 -0.34 -0.08 0.00
0	0.94	[CLS] ! ! ! ! ! ! ! ! ! ! ! ! ! rt @ shen ##ika ##ro ##bert ##s : the shit you hear about me might be true or it might be fake ##r than the bitch who told it to ya & # 57 ##36 ##1 ; [SEP]	0.00 0.00 -0.01 0.01 0.00 -0.00 -0.01 -0.00 0.00 0.00 0.01 0.01 0.01 -0.03 0.11 -0.03 -0.05 -0.00 -0.01 0.02 -0.00 -0.06 -0.12 0.91 -0.03 -0.05 -0.10 0.01 0.01 0.04 -0.03 -0.06 -0.03 0.02 -0.00 -0.05 -0.01 -0.04 -0.07 0.28 0.05 -0.02 0.04 0.03 0.09 -0.02 -0.03 -0.03 0.02 -0.00 0.03 0.00
0	0.99	[CLS] jealousy is such a bitch . [SEP]	0.00 -0.54 -0.40 -0.11 -0.23 0.70 0.03 0.00
1	0.10	[CLS] a 50 dollar card make a young nic ##ca go hard . . throw in a cell phone i can get you left on the yard ! [SEP]	0.00 0.03 0.09 -0.02 0.07 -0.07 0.17 -0.15 -0.09 0.03 0.34 -0.57 -0.03 -0.10 0.17 -0.00 0.07 -0.33 0.14 -0.02 -0.05 0.12 -0.21 0.03 -0.02 -0.08 0.33 0.35 0.00
0	0.98	[CLS] @ pat ##sf ##an ##jo ##e ##32 : @ d _ palo ##min ##o ##52 i think worst advice i gave you was don ' t be a pussy and speed up " lo ##l " [SEP]	0.00 0.12 -0.11 -0.05 -0.06 -0.06 -0.04 0.36 -0.02 -0.09 -0.06 0.01 -0.06 -0.00 -0.05 0.22 0.10 0.03 0.08 -0.46 -0.08 -0.17 -0.28 0.22 -0.11 0.00 -0.04 -0.04 -0.04 0.32 0.13 0.07 -0.30 0.18 0.16 -0.01 -0.29 0.00
0	0.99	[CLS] i despair at the mouth foam ##ing hostility & amp ; dish ##ones ##ty of those in the leave camp , & amp ; we should expose that . [SEP]	0.00 -0.17 0.12 -0.04 -0.07 0.06 -0.02 -0.06 0.92 0.07 0.08 -0.13 0.02 0.13 -0.02 -0.03 0.07 -0.01 -0.06 -0.00 0.02 0.02 0.00 0.10 -0.03 -0.02 0.04 0.04 0.11 -0.02 0.00
0	0.99	[CLS] @ professor ##f @ media ##ite @ law _ new ##z childish temper # tan ##trum ##s are all the left has left . : ) [SEP]	0.00 -0.01 0.02 0.04 0.07 0.07 0.12 0.01 0.11 0.02 0.02 0.02 0.20 0.24 0.22 0.20 0.85 0.13 -0.03 0.04 0.01 -0.00 0.07 0.08 0.10 0.01 -0.04 0.00
1	0.01	[CLS] @ hat ##ze ##pu ##eh and don ' t call him creepy , he ' s the most handsome , adorable and nice ##st shark ever ok z ##ora , bu ##u ##u ##u ##u ##ut he looks like a shark [SEP]	0.00 0.21 -0.28 0.19 0.13 -0.11 0.07 0.04 0.04 -0.03 -0.09 -0.11 0.49 -0.03 -0.11 -0.06 -0.23 -0.17 0.11 -0.21 -0.05 -0.08 0.03 -0.05 -0.04 -0.15 -0.11 -0.07 -0.07 -0.09 0.05 -0.01 -0.01 0.04 0.02 -0.00 0.10 0.11 0.13 0.46 0.25 0.02 0.00
0	0.96	[CLS] been at work for not even 4 hours and i ' ve thrown boiling tea everywhere , smashed a mug , smashed a milk jug and sliced my finger open [SEP]	0.00 -0.05 0.02 0.09 -0.01 0.06 -0.00 -0.01 0.05 0.01 0.05 0.01 -0.04 0.04 0.04 -0.00 0.06 0.07 0.26 -0.01 -0.03 0.10 0.39 0.08 -0.03 -0.04 0.02 0.83 0.09 0.14 -0.11 0.00
1	0.34	[CLS] * on a lighter note * g ##g , nk ##ais ##ser ##y & amp ; total man ? the rate at which jubilee is losing these votes ! ! [SEP]	0.00 0.00 0.00 0.02 -0.00 -0.02 0.00 0.01 0.01 0.03 -0.02 -0.00 0.00 0.01 0.01 -0.02 -0.01 -0.02 0.03 -0.02 -0.01 0.02 0.01 0.01 -0.03 -0.01 -0.04 -0.08 0.99 -0.04 -0.02 0.00
1	0.39	[CLS] lost my appetite for the past 5 days and i swear i already lost 3 pounds # de ##pressing # at # least # i # will # be # skinny # for # pride # weekend [SEP]	0.00 -0.01 -0.08 -0.04 0.02 0.01 -0.01 0.04 0.06 -0.02 0.05 0.73 0.06 -0.06 -0.10 0.11 -0.16 -0.01 0.01 -0.05 0.07 -0.06 0.02 -0.15 0.02 0.02 -0.00 -0.10 -0.05 -0.01 0.12 0.35 0.16 -0.33 -0.15 -0.05 -0.14 0.16 0.00
0	1.00	[CLS] @ boris ##jo ##hn ##son unhappy about the cost of leaving the eu ? if only you had published your letter out ##lining the reasons to stay instead . idiot . [SEP]	0.00 -0.00 -0.06 0.06 0.03 0.01 0.12 -0.03 -0.03 0.00 -0.00 0.01 -0.04 0.00 0.01 -0.01 0.02 -0.00 -0.02 0.01 -0.02 -0.02 0.05 -0.03 -0.05 -0.01 -0.02 -0.09 0.03 0.06 0.97 0.05 0.00
1	0.39	[CLS] it ' s rained every day since june 30 . that ' s 13 # dr ##ear ##y , # so ##ggy days in a row . # auckland [SEP]	0.00 -0.38 0.01 0.17 -0.30 -0.06 0.05 -0.12 0.07 -0.03 0.03 -0.09 -0.01 0.06 -0.16 -0.03 -0.15 -0.27 0.12 -0.10 0.24 0.12 -0.54 0.33 0.07 -0.09 0.14 0.02 0.17 0.14 0.00
1	0.00	[CLS] the jj ##ph ad ##min search will start on friday ! ! ! how excited are you ? [SEP]	0.00 -0.74 0.11 -0.27 -0.24 -0.08 -0.05 -0.13 0.06 0.08 0.18 0.14 0.07 -0.06 0.02 -0.13 0.02 0.44 -0.02 0.00
1	0.01	[CLS] maud and roland ' s search for an un ##k ##now ##able past makes for a haunting literary detective story , but lab ##ute pulls off a neat ##er trick in possession : he makes language sexy . [SEP]	0.00 0.03 -0.12 0.14 -0.01 -0.06 -0.01 0.02 -0.01 -0.02 -0.01 -0.01 -0.02 -0.05 0.00 -0.03 -0.08 0.91 -0.22 -0.06 -0.10 -0.01 -0.02 -0.03 -0.02 0.06 -0.01 -0.01 -0.02 0.00 -0.07 -0.03 0.02 -0.09 0.01 0.01 0.04 -0.16 0.05 0.00
1	0.00	[CLS] it ' s a charming and often affecting journey . [SEP]	0.00 -0.43 -0.23 -0.63 -0.43 -0.15 -0.13 0.02 0.26 -0.12 -0.24 0.00
1	0.01	[CLS] far more imaginative and ambitious than the trivial , cash - in features nickelodeon has made from its other animated tv series . [SEP]	0.00 -0.26 -0.26 -0.08 -0.04 0.03 -0.13 -0.08 -0.02 -0.06 -0.14 -0.04 -0.11 -0.05 0.44 -0.20 -0.12 -0.19 -0.14 -0.03 0.22 0.10 0.60 0.28 0.00
1	0.00	[CLS] a ra ##rity among recent iranian films : it ' s a comedy full of gentle humor that chi ##des the absurd ##ity of its protagonist ' s plight . [SEP]	0.00 -0.63 0.15 0.01 -0.00 0.06 -0.66 0.03 -0.05 -0.02 -0.02 -0.08 0.02 -0.06 -0.03 -0.12 -0.07 0.02 -0.06 -0.07 0.02 -0.15 -0.04 0.04 -0.03 -0.09 -0.18 -0.08 0.09 -0.06 0.04 0.00
1	0.00	[CLS] a warm , funny , engaging film . [SEP]	0.00 -0.72 -0.46 -0.15 0.03 -0.13 -0.03 0.25 -0.39 0.00
1	0.39	[CLS] a regular ` < im ##g sr ##c = " ur ##l " / > ` worked for me , but it was an image that i hosted off - site . that doesn ' t work for you ? [SEP]	0.00 -0.07 -0.09 -0.05 0.04 -0.02 -0.01 -0.02 0.00 -0.10 -0.03 0.01 -0.02 -0.03 -0.05 0.04 -0.03 -0.06 0.00 0.01 0.02 -0.02 0.02 0.04 0.02 -0.19 -0.02 0.03 0.03 0.02 -0.06 0.11 0.16 0.05 -0.07 0.06 0.21 0.34 0.28 0.49 -0.63 0.00
1	0.06	[CLS] thanks for the refer ##rence . do you have any other response to the bo ##zo who doubts not ##ability ? [SEP]	0.00 0.17 -0.05 -0.08 0.16 0.10 0.01 0.01 -0.02 0.13 -0.09 0.01 0.11 -0.23 -0.13 -0.07 -0.17 -0.09 -0.76 0.04 -0.35 -0.26 0.00
1	0.03	[CLS] compare the two . how is the first in anyway superior to the second ? [SEP]	0.00 -0.94 -0.08 -0.03 -0.11 0.05 -0.15 -0.03 -0.01 -0.02 0.05 -0.14 -0.01 0.02 0.01 -0.21 0.00
1	0.03	[CLS] i ' m sorry i ' m not sure do i understand you . are you looking for something like [ os ##st ##mm ] ( http : / / www . is ##ec ##om . org / os ##st ##mm / ) or the software which would support logistics / management side of the pen ##test ##ing project ? [SEP]	0.00 -0.12 -0.15 -0.14 0.22 0.11 0.08 -0.11 0.10 0.10 0.15 0.26 -0.47 -0.19 0.05 -0.03 0.12 -0.29 -0.21 -0.14 -0.14 0.06 -0.02 0.03 -0.05 -0.07 -0.09 -0.03 -0.04 -0.03 -0.02 -0.05 0.07 -0.09 -0.01 -0.07 0.04 0.06 -0.04 -0.08 0.05 0.05 0.05 -0.03 -0.05 -0.04 -0.07 0.02 -0.10 -0.21 0.17 -0.13 -0.20 -0.09 -0.04 0.02 0.00 0.00 0.16 -0.04 -0.23 0.00
1	0.02	[CLS] where are you using this code ? have you tried ` theme _ get _ setting ( ' logo _ path ' , ' theme _ name ' ) ` , replacing theme _ name with the name of your theme ? [SEP]	0.00 -0.59 -0.37 -0.20 0.14 0.09 -0.07 0.27 -0.17 0.02 -0.19 -0.00 -0.06 -0.04 -0.09 -0.05 -0.14 -0.04 -0.06 0.10 -0.08 -0.03 -0.02 0.05 -0.07 -0.19 -0.11 -0.05 -0.02 -0.01 0.02 0.11 -0.09 0.03 -0.05 0.01 -0.06 -0.09 -0.02 -0.02 0.08 0.32 0.19 0.00
0	0.94	[CLS] doing a redundant ` at ##oi ` after you just did ` st ##rt ##ol ` is probably the most twisted insult to the proper use of string - to - int conversion functions in c one can come up with . why do you see the need to " re - convert " the value using the broken function ` at ##oi ` when you already have it as ` val ` from a proper function ` st ##rt ##ol ` ? [SEP]	0.00 -0.03 -0.02 0.06 -0.03 -0.01 -0.02 -0.01 0.00 0.02 -0.02 -0.01 -0.02 -0.00 0.00 -0.01 -0.00 0.00 -0.01 -0.03 0.02 -0.21 0.96 0.09 -0.07 -0.01 0.00 0.01 -0.02 0.01 0.01 0.01 -0.00 -0.01 -0.04 0.00 -0.00 0.01 0.01 -0.02 0.00 0.01 0.05 0.03 -0.01 0.01 -0.00 0.00 -0.02 0.01 -0.01 -0.00 0.01 -0.02 -0.00 -0.00 -0.04 0.01 0.00 0.02 -0.01 0.00 -0.00 -0.01 0.00 -0.00 0.02 -0.01 0.01 0.00 0.00 0.00 -0.00 0.00 0.01 0.00 0.01 0.00 -0.01 0.00 -0.00 0.00 -0.03 0.00 0.00
0	0.72	[CLS] please ruin this party , @ nsw ##rl . # origin # blues [SEP]	0.00 -0.44 0.17 -0.17 0.56 -0.04 0.30 0.31 0.17 0.23 0.17 0.08 -0.10 -0.34 0.00
1	0.00	[CLS] a deep and meaningful film . [SEP]	0.00 -0.74 -0.31 -0.40 -0.03 -0.10 -0.43 0.00
1	0.08	[CLS] the code you ' ve posted works fine for me . are you doing something like ` get _ sim ##ps ( get _ sim ##ps ( 20 ) ) ` ? [SEP]	0.00 -0.23 0.03 0.02 -0.05 -0.01 0.47 -0.62 -0.40 -0.05 0.32 -0.11 -0.07 0.09 0.02 0.06 -0.05 0.06 0.11 -0.05 -0.04 -0.00 -0.02 0.06 -0.03 0.00 -0.00 -0.02 0.02 0.02 0.01 0.12 -0.03 0.00
1	0.00	[CLS] my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and loving ##ly dish ##ed out humor . [SEP]	0.00 -0.24 -0.02 -0.07 0.08 -0.11 0.10 0.09 0.00 0.06 0.04 0.18 0.03 0.02 -0.10 -0.12 -0.18 -0.06 -0.00 0.01 0.37 0.61 0.53 0.00
1	0.00	[CLS] a fast , funny , highly enjoyable movie . [SEP]	0.00 -0.83 -0.43 -0.04 0.08 -0.07 -0.02 -0.07 -0.16 -0.30 0.00
1	0.00	[CLS] a po ##ignant , art ##fully crafted meditation on mortality . [SEP]	0.00 -0.31 -0.06 -0.63 -0.15 -0.03 -0.13 -0.16 -0.37 0.12 -0.51 -0.16 0.00
1	0.00	[CLS] i am sorry that i was unable to get the full br ##unt of the comedy . [SEP]	0.00 -0.25 -0.12 0.06 -0.15 -0.21 -0.03 0.06 0.08 -0.07 -0.11 0.04 -0.09 -0.02 -0.05 0.25 -0.83 -0.23 0.00
1	0.00	[CLS] a del ##ect ##able and intriguing thriller filled with surprises , read my lips is an original . [SEP]	0.00 -0.78 -0.12 0.04 -0.33 -0.12 0.03 0.05 0.12 -0.02 -0.02 -0.13 0.07 -0.07 0.04 -0.13 0.27 0.20 0.27 0.00
1	0.01	[CLS] with rabbit - proof fence , no ##yce has tailored an epic tale into a lean , economical movie . [SEP]	0.00 -0.37 -0.24 -0.00 -0.40 -0.21 -0.15 -0.06 -0.10 -0.14 0.05 0.04 -0.13 -0.27 -0.05 -0.17 0.07 -0.12 0.31 -0.44 0.33 0.00
0	0.61	[CLS] mother nature dropping mad beats out there this morning . just wish they wouldn ' t shake my shower stall while i ' m standing there naked . [SEP]	0.00 -0.19 -0.10 -0.03 -0.89 0.24 -0.11 -0.06 -0.04 -0.04 0.09 0.02 -0.04 0.06 -0.04 -0.01 0.01 -0.05 0.01 0.07 -0.01 -0.02 0.01 -0.02 -0.06 -0.02 0.08 -0.19 -0.10 0.00
1	0.00	[CLS] good morning and happy tuesday ! i hope you have a terrific day ! enjoy it tons [SEP]	0.00 -0.36 0.07 -0.05 -0.29 0.05 0.15 -0.15 -0.19 0.07 -0.20 -0.17 -0.06 -0.13 -0.01 0.01 0.67 -0.40 0.00
0	0.59	[CLS] ramsay , as in rat ##cat ##cher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem dr ##ab and so ##rdi ##d . [SEP]	0.00 0.03 0.02 -0.04 -0.01 -0.07 -0.01 0.00 0.03 -0.15 -0.00 -0.09 -0.05 0.04 -0.89 0.12 -0.02 -0.02 0.05 -0.10 0.01 -0.09 0.10 -0.21 -0.01 -0.00 0.03 0.04 -0.22 -0.04 0.00 0.05 -0.03 -0.05 0.03 0.00 0.04 -0.02 0.02 0.05 0.00
1	0.27	[CLS] it takes talent to make a lifeless movie about the most he ##ino ##us man who ever lived . [SEP]	0.00 -0.03 -0.16 -0.19 -0.00 -0.04 -0.08 0.87 0.10 -0.28 0.03 -0.19 -0.03 0.14 -0.11 -0.02 -0.07 -0.02 -0.04 0.08 0.00
1	0.00	[CLS] the lower your expectations , the more you ' ll enjoy it . [SEP]	0.00 -0.69 -0.07 0.05 -0.10 -0.29 -0.21 -0.18 -0.14 -0.24 -0.24 -0.04 0.45 -0.14 0.00
0	0.99	[CLS] this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast . [SEP]	0.00 0.01 0.12 0.02 0.05 -0.01 -0.17 0.79 -0.06 0.13 -0.03 0.08 0.10 -0.08 0.51 0.03 -0.03 -0.02 -0.01 -0.03 0.06 0.09 0.03 0.11 0.00
1	0.00	[CLS] thanks , i think angel mendez will be a good story for the portal . what do you think ? [SEP]	0.00 -0.11 -0.43 -0.12 -0.07 -0.19 0.05 -0.32 -0.13 -0.06 -0.15 -0.16 -0.08 -0.18 -0.09 -0.39 -0.26 -0.37 0.37 0.16 0.06 0.00
1	0.16	[CLS] a liter ##ate presentation that wonderful ##ly weave ##s a murderous event in 1873 with murderous rage in 2002 . [SEP]	0.00 -0.07 -0.40 -0.10 -0.20 -0.09 -0.64 -0.19 -0.01 -0.10 0.06 -0.44 -0.12 0.02 0.08 -0.13 -0.11 -0.00 0.06 0.20 -0.16 0.00
0	0.99	[CLS] excessive , prof ##ane , packed with cartoon ##ish violence and comic - strip characters . [SEP]	0.00 0.58 -0.10 -0.25 0.32 0.03 -0.14 -0.23 -0.17 -0.24 0.42 -0.05 0.00 0.03 0.26 0.14 0.25 0.00
1	0.01	[CLS] thanks ! how much batter do you use for each shell ? [SEP]	0.00 -0.24 0.32 0.11 0.20 -0.28 -0.24 0.01 0.13 0.62 -0.28 0.33 -0.27 0.00
1	0.00	[CLS] preach ##es to two completely different choirs at the same time , which is a pretty amazing accomplishment . [SEP]	0.00 -0.36 -0.04 -0.29 -0.14 0.05 0.19 -0.48 -0.26 -0.22 0.07 -0.20 -0.12 0.06 -0.33 -0.28 0.13 -0.08 -0.25 -0.23 0.00
1	0.02	[CLS] what an interesting idea . i ' ll ponder it more . have you ever seen this done for real ? [SEP]	0.00 -0.19 -0.27 0.07 0.25 -0.06 -0.11 -0.21 -0.21 -0.20 -0.23 0.02 -0.10 -0.10 -0.12 -0.06 -0.10 -0.36 0.11 0.57 -0.24 -0.23 0.00
0	0.67	[CLS] there are simply too many ideas floating around - - part far ##ce , part sliding doors , part pop video - - and yet failing to exploit them . [SEP]	0.00 0.01 -0.08 -0.02 0.04 -0.03 -0.21 0.08 0.01 -0.04 -0.00 0.04 -0.32 -0.03 0.02 0.05 -0.07 0.01 -0.02 0.00 -0.16 0.06 0.03 0.02 -0.01 -0.06 -0.17 -0.10 0.86 -0.00 0.07 0.00
1	0.02	[CLS] sounds interesting . could people keep me in the loop as well ? [SEP]	0.00 0.65 -0.34 -0.05 -0.17 -0.03 -0.31 -0.08 -0.12 -0.36 0.23 -0.11 0.31 -0.16 0.00
0	0.75	[CLS] quite possibly the worst anthem ##s i ' ve ever heard in pro sports by both singers . i wish i was deaf . # as ##g ##20 ##17 # mlb # mlb ##all ##star ##game [SEP]	0.00 -0.15 -0.27 0.17 0.45 0.53 -0.10 -0.06 0.07 0.01 0.18 0.02 -0.03 0.07 0.18 0.02 -0.03 -0.39 0.07 0.07 0.04 0.03 0.03 -0.27 0.14 0.01 -0.06 0.05 0.01 0.02 0.03 -0.07 0.01 -0.00 0.06 0.04 0.15 0.00
1	0.28	[CLS] instead of hiding pin ##oc ##chio from critics , mira ##max should have hidden it from everyone . [SEP]	0.00 -0.11 -0.10 -0.06 -0.03 -0.10 -0.06 -0.13 -0.17 -0.04 0.17 0.86 -0.16 -0.11 -0.09 0.04 -0.01 0.30 -0.00 0.00
0	0.73	[CLS] @ free ##be ##aco ##n shows how desperate the dem ##s are . they always ignore facts and hu ##rl scare tactics . [SEP]	0.00 0.39 -0.14 -0.01 0.03 -0.03 0.04 0.01 -0.06 -0.05 0.18 -0.07 -0.05 -0.12 -0.02 -0.16 -0.01 -0.12 -0.12 0.51 0.24 -0.32 -0.46 0.27 0.00
1	0.00	[CLS] whenever i turn on the radio and hear bob dylan ' s knocking on heaven ' s door being played , i assume he ' s died . # relieved # not ##ye ##t # someday [SEP]	0.00 0.01 -0.73 0.16 0.14 0.05 0.07 0.06 -0.06 -0.00 -0.14 -0.08 -0.19 -0.05 -0.05 -0.15 -0.05 -0.21 -0.10 -0.04 0.01 -0.10 -0.01 -0.02 -0.03 -0.08 -0.21 -0.17 -0.00 0.20 -0.30 -0.02 -0.06 0.03 0.17 -0.09 0.00 0.00
1	0.01	[CLS] it provides an honest look at a community st ##ri ##ving to anchor itself in new grounds . [SEP]	0.00 -0.36 -0.65 -0.37 0.09 -0.20 -0.04 -0.05 -0.05 -0.07 -0.01 0.05 -0.12 -0.12 0.03 0.00 0.05 0.45 -0.14 0.00
0	0.99	[CLS] & # 128 ##51 ##4 ; & # 128 ##51 ##4 ; & # 128 ##51 ##4 ; & # 82 ##20 ; @ snap ##back ##bla ##c : i seen a tho ##t ass bitch in some high top whites & # 82 ##21 ; [SEP]	0.00 0.00 -0.00 0.00 -0.00 0.00 0.02 0.00 0.01 0.00 -0.00 0.00 0.01 0.00 0.00 0.01 0.00 0.01 0.01 0.00 0.01 0.01 0.01 0.01 0.00 0.00 0.00 -0.01 -0.01 0.02 0.04 -0.05 0.05 -0.20 0.01 -0.13 0.97 0.00 -0.00 -0.01 -0.01 0.02 0.02 0.01 0.01 0.01 0.01 0.00
1	0.40	[CLS] please edit your question and explain what isn ' t working . what errors are you seeing , or how isn ' t it working as you expect ? [SEP]	0.00 -0.09 0.25 -0.24 -0.33 -0.17 0.13 0.06 -0.11 0.04 0.23 0.21 0.10 -0.21 0.09 -0.24 -0.18 -0.19 0.12 -0.15 0.20 -0.25 -0.00 0.02 0.08 0.42 0.03 -0.08 -0.00 -0.30 0.00
1	0.01	[CLS] yes , this is a nice illustration . i ' d love to have a look of the code ; is it possible for you to mail it to me ? [SEP]	0.00 -0.06 -0.38 -0.20 -0.30 -0.07 0.25 0.07 0.23 -0.02 -0.13 -0.19 -0.21 -0.10 -0.18 -0.16 -0.05 -0.11 -0.29 0.07 0.01 -0.34 -0.12 -0.20 -0.20 -0.17 -0.12 -0.09 -0.08 0.16 0.17 -0.11 0.00
0	1.00	[CLS] won ' t be watching espn anymore , they took robert lee off because of his name , pc police , what insanity ! more # hatred # big ##ots # left ##wing ##nut ##jo ##b [SEP]	0.00 -0.04 -0.34 -0.10 0.10 0.08 0.03 0.01 0.05 0.05 -0.09 0.16 -0.02 0.07 0.00 -0.09 -0.13 0.09 0.06 -0.16 0.06 -0.07 0.00 0.09 0.02 0.05 -0.05 0.54 -0.09 0.02 0.08 -0.01 0.00 0.04 0.26 -0.04 -0.59 0.00
1	0.00	[CLS] a reward ##ing work of art for only the most patient and challenge - hungry movie ##go ##ers . [SEP]	0.00 -0.21 -0.89 -0.05 -0.02 -0.05 -0.03 -0.02 -0.08 -0.08 -0.10 0.22 -0.10 -0.07 -0.07 0.05 0.10 0.08 0.20 0.05 0.00
1	0.07	[CLS] @ em ##tu ##ci ##for : my point is simply that if you ' re going to clutch your pearls this tight and go all " _ o tempo ##ra o more ##s ! _ " on us , it ' s more convincing if you yourself don ' t ex ##em ##plify the decline of standards you are be ##mo ##ani ##ng . if you don ' t hold yourself to a standard of perfection , then what could possibly be the point of your question ? [SEP]	0.00 0.02 -0.03 0.02 -0.03 -0.04 -0.17 0.15 0.04 0.01 0.17 0.01 0.05 -0.02 0.01 0.00 -0.02 0.11 -0.27 0.05 -0.32 0.00 0.21 0.12 0.17 0.05 -0.10 0.10 0.03 -0.02 -0.03 -0.00 0.05 0.02 -0.05 0.04 0.08 -0.00 0.04 0.01 0.01 -0.02 -0.02 -0.02 -0.05 -0.00 -0.03 -0.08 -0.03 -0.01 0.01 -0.02 0.01 0.01 -0.09 -0.10 -0.01 -0.04 0.01 -0.07 0.00 -0.02 -0.02 0.02 0.03 -0.05 -0.09 -0.06 -0.02 -0.01 0.08 -0.06 -0.01 -0.00 0.13 -0.05 -0.64 -0.00 0.01 0.03 0.06 -0.03 -0.03 -0.03 0.08 -0.01 0.05 -0.16 -0.24 0.00
0	0.88	[CLS] @ jack ##ruff ##4 they have this horrible pudding here . butter ##sco ##tch pudding on mondays , it ' s dreadful . # fringe [SEP]	0.00 -0.17 -0.29 0.11 -0.25 0.07 -0.23 -0.19 -0.10 -0.05 -0.17 -0.03 -0.06 0.03 0.08 -0.29 -0.18 0.28 0.13 -0.03 -0.08 -0.36 -0.40 0.32 0.14 0.15 0.00
1	0.09	[CLS] # 10th ##ings ##tha ##t ##get ##son ##my ##ner ##ves needy ho ##es , rat ##chet ho ##es , side ##line ho ##es , beg ##gin ' ho ##es , dumb ho ##es , looking for love on facebook ho ##es . . [SEP]	0.00 -0.17 -0.40 0.18 -0.03 0.08 -0.04 0.15 -0.06 -0.15 -0.02 0.10 -0.07 -0.00 -0.10 -0.09 0.02 -0.23 0.07 0.01 0.01 0.12 -0.10 0.05 -0.08 -0.26 -0.01 0.02 -0.01 0.04 0.27 0.02 0.18 0.25 0.12 0.20 0.30 0.05 0.02 -0.34 0.06 0.24 0.08 0.13 0.00
1	0.14	[CLS] i have never seen anything which says that warning levels should begin an ##ew each day . < ur ##l > says that warning template ##s " are listed at right in order of severity , but need not be used in succession . " if there is another policy somewhere , could you show it to me ? [SEP]	0.00 -0.17 -0.01 -0.19 -0.10 0.14 -0.08 -0.06 0.04 0.05 0.24 -0.02 -0.12 -0.07 0.00 -0.05 0.09 0.08 0.06 -0.03 -0.03 0.21 -0.04 -0.04 0.16 -0.66 -0.04 0.15 -0.03 0.02 -0.01 -0.04 -0.03 -0.01 -0.05 0.14 -0.02 -0.08 -0.05 -0.04 -0.00 0.01 0.02 0.19 0.07 -0.04 0.02 -0.03 -0.09 -0.08 -0.08 -0.24 0.00 0.10 -0.16 -0.04 -0.07 0.01 -0.22 -0.09 0.00
0	1.00	[CLS] @ opt ##imus ##od ##d mine will say " the int ##imi ##da ##tor " & # 128 ##51 ##4 ; & # 128 ##51 ##4 ; cause bitch ##es can ' t handle it . & # 128 ##51 ##4 ; [SEP]	0.00 0.02 -0.00 0.10 0.01 0.02 0.11 0.04 0.02 0.06 -0.03 0.04 -0.04 -0.01 0.03 -0.02 0.01 -0.01 0.01 0.01 -0.00 -0.00 -0.00 0.00 0.01 0.02 0.02 -0.07 -0.10 0.96 0.13 -0.05 0.04 0.01 0.09 0.00 0.03 0.02 0.03 -0.00 0.02 0.01 0.03 0.00
